iter	MAPE	RMSE	R2	MAE
0	0.04228238098	0.7252636735	0.5250664852	0.5667843492
1	0.0300501635	0.5250538789	0.7510863522	0.4017313759
2	0.02290171577	0.4115940545	0.8470395501	0.3051662042
3	0.0188202253	0.3435499057	0.8934335167	0.2499175376
4	0.0168182007	0.3087021894	0.9139560407	0.2225632952
5	0.01563756494	0.2874829741	0.9253782852	0.2068571629
6	0.01496523446	0.2752234795	0.9316069567	0.1979658606
7	0.01451288458	0.2666324273	0.9358100704	0.1917962678
8	0.01425948667	0.2610725395	0.9384591693	0.1883962747
9	0.01396460214	0.2558140756	0.9409132856	0.1844996938
10	0.01369966973	0.2511969487	0.9430269216	0.1810259101
11	0.01350810496	0.2476292019	0.9446338044	0.1785538537
12	0.01319633662	0.2434451066	0.9464890002	0.1742605956
13	0.01296459562	0.2401549574	0.9479256235	0.1711022168
14	0.01279442305	0.237158388	0.9492170476	0.168819353
15	0.01270422945	0.2352936526	0.9500125031	0.1675226604
16	0.01258633664	0.2331762576	0.9509081247	0.1660157746
17	0.01243300977	0.2306247364	0.9519766181	0.1640190922
18	0.01235526634	0.2291867161	0.9525736338	0.1630042125
19	0.01221289518	0.2266280863	0.9536266543	0.1612661675
20	0.01210041485	0.2248822295	0.9543383876	0.1596523857
21	0.01205731767	0.2236253261	0.9548473815	0.1591149641
22	0.01197572479	0.2217059644	0.9556191393	0.1580689523
23	0.01178442814	0.2192339036	0.9566033305	0.1554527694
24	0.01170674828	0.2177311574	0.9571962194	0.1544346895
25	0.01165955318	0.2168406451	0.9575456351	0.1537932157
26	0.01157106863	0.2152764144	0.9581559349	0.1526247743
27	0.01146081914	0.2135415486	0.9588276418	0.1511214262
28	0.01140711165	0.212176885	0.9593521944	0.150429296
29	0.01137116183	0.2112636289	0.9597013555	0.1499945878
30	0.01131647978	0.210151734	0.9601244283	0.1493120831
31	0.01123893654	0.2086903878	0.960677071	0.148181683
32	0.0111635801	0.2073806678	0.9611690957	0.1471532524
33	0.01105278024	0.2059641765	0.9616977447	0.1455775293
34	0.01101531118	0.2053206991	0.9619367002	0.1450314075
