iter	Passed	Remaining
0	112	37170
1	215	35384
2	325	35520
3	421	34342
4	521	33888
5	622	33623
6	717	33102
7	832	33496
8	945	33732
9	1061	33962
10	1152	33423
11	1257	33323
12	1374	33527
13	1475	33298
14	1582	33232
15	1700	33378
16	1803	33212
17	1904	33004
18	2013	32955
19	2123	32906
20	2206	32460
21	2292	32092
22	2377	31740
23	2463	31405
24	2545	31057
25	2629	30741
26	2711	30431
27	2795	30150
28	2882	29921
29	2966	29665
30	3054	29462
31	3139	29233
32	3222	28999
33	3306	28785
34	3389	28564
35	3478	28405
36	3568	28258
37	3658	28113
38	3743	27931
39	3830	27772
40	3921	27641
41	4009	27492
42	4100	27371
43	4187	27217
44	4275	27078
45	4366	26959
46	4455	26824
47	4544	26697
48	4632	26566
49	4722	26444
50	4805	26291
51	4897	26184
52	4983	26047
53	5068	25905
54	5153	25769
55	5241	25644
56	5329	25527
57	5416	25402
58	5503	25277
59	5587	25144
60	5671	25012
61	5757	24885
62	5843	24764
63	5937	24677
64	6023	24556
65	6107	24429
66	6195	24319
67	6282	24206
68	6371	24102
69	6459	23992
70	6546	23879
71	6631	23762
72	6717	23650
73	6804	23538
74	6892	23435
75	6981	23332
76	7068	23226
77	7155	23119
78	7245	23019
79	7335	22923
80	7423	22821
81	7508	22707
82	7593	22596
83	7676	22482
84	7763	22376
85	7849	22270
86	7937	22171
87	8028	22079
88	8115	21975
89	8202	21873
90	8293	21782
91	8379	21678
92	8467	21579
93	8575	21529
94	8674	21456
95	8771	21379
96	8868	21303
97	8976	21249
98	9073	21172
99	9165	21080
100	9270	21020
101	9382	20971
102	9483	20900
103	9595	20852
104	9695	20776
105	9788	20686
106	9885	20601
107	9981	20518
108	10091	20459
109	10189	20379
110	10285	20292
111	10382	20208
112	10503	20171
113	10606	20096
114	10705	20015
115	10803	19931
116	10903	19850
117	11002	19766
118	11194	19848
119	11286	19751
120	11376	19649
121	11461	19541
122	11548	19434
123	11632	19325
124	11715	19212
125	11803	19110
126	11896	19016
127	11985	18915
128	12075	18815
129	12159	18707
130	12258	18621
131	12368	18553
132	12455	18449
133	12544	18348
134	12634	18249
135	12720	18145
136	12808	18044
137	12898	17946
138	12989	17849
139	13085	17758
140	13175	17660
141	13267	17564
142	13365	17477
143	13471	17400
144	13568	17311
145	13663	17220
146	13752	17120
147	13840	17020
148	13930	16922
149	14017	16820
150	14107	16723
151	14195	16624
152	14285	16526
153	14374	16428
154	14463	16329
155	14557	16236
156	14663	16157
157	14754	16061
158	14845	15966
159	14933	15866
160	15019	15765
161	15110	15670
162	15194	15567
163	15284	15470
164	15368	15368
165	15454	15268
166	15543	15170
167	15636	15078
168	15737	14992
169	15849	14917
170	15942	14823
171	16036	14731
172	16134	14642
173	16222	14544
174	16315	14450
175	16410	14359
176	16501	14263
177	16587	14164
178	16680	14071
179	16770	13975
180	16867	13885
181	16957	13789
182	17049	13695
183	17140	13600
184	17229	13504
185	17325	13413
186	17420	13321
187	17509	13224
188	17597	13128
189	17685	13031
190	17778	12937
191	17870	12844
192	17956	12746
193	18044	12650
194	18133	12553
195	18223	12459
196	18309	12361
197	18400	12267
198	18492	12173
199	18581	12078
200	18675	11985
201	18790	11906
202	18893	11820
203	18998	11734
204	19094	11642
205	19181	11546
206	19275	11453
207	19365	11358
208	19456	11264
209	19543	11167
210	19631	11071
211	19718	10975
212	19805	10879
213	19892	10782
214	19979	10686
215	20071	10593
216	20159	10497
217	20246	10401
218	20338	10308
219	20425	10212
220	20512	10117
221	20596	10019
222	20687	9926
223	20773	9830
224	20864	9736
225	20951	9641
226	21036	9545
227	21126	9451
228	21210	9355
229	21301	9261
230	21389	9166
231	21478	9072
232	21566	8978
233	21656	8884
234	21746	8791
235	21835	8697
236	21922	8602
237	22010	8508
238	22110	8418
239	22199	8324
240	22298	8234
241	22388	8141
242	22492	8052
243	22585	7960
244	22672	7866
245	22763	7772
246	22851	7678
247	22941	7585
248	23030	7491
249	23114	7396
250	23198	7301
251	23286	7207
252	23370	7112
253	23453	7017
254	23537	6922
255	23620	6827
256	23703	6732
257	23790	6639
258	23876	6545
259	23960	6450
260	24043	6356
261	24128	6262
262	24211	6167
263	24300	6075
264	24384	5981
265	24503	5895
266	24636	5813
267	24766	5729
268	24881	5642
269	24988	5552
270	25079	5460
271	25170	5367
272	25340	5290
273	25435	5198
274	25544	5108
275	25648	5018
276	25752	4927
277	25863	4837
278	25984	4749
279	26080	4657
280	26175	4564
281	26283	4473
282	26382	4381
283	26484	4289
284	26597	4199
285	26707	4108
286	26788	4013
287	26876	3919
288	26960	3824
289	27048	3730
290	27131	3636
291	27225	3542
292	27314	3449
293	27399	3355
294	27480	3260
295	27562	3165
296	27645	3071
297	27728	2977
298	27813	2883
299	27898	2789
300	27982	2695
301	28071	2602
302	28155	2508
303	28241	2415
304	28325	2321
305	28409	2228
306	28492	2134
307	28575	2041
308	28659	1947
309	28746	1854
310	28834	1761
311	28919	1668
312	29001	1575
313	29084	1482
314	29167	1388
315	29256	1296
316	29344	1203
317	29427	1110
318	29512	1017
319	29598	924
320	29683	832
321	29766	739
322	29857	647
323	29940	554
324	30024	461
325	30108	369
326	30192	276
327	30279	184
328	30363	92
329	30448	0
